iter	RMSE
556	21232.21825
557	21226.34659
558	21216.26599
559	21210.68955
560	21194.87006
561	21178.14235
562	21166.15093
563	21161.33788
564	21155.68126
565	21136.9417
566	21125.21526
567	21118.06209
568	21110.97137
569	21101.83894
570	21092.01373
571	21083.63195
572	21075.41147
573	21061.81197
574	21054.49959
575	21047.166
576	21036.15915
577	21028.66894
578	21015.80011
579	21008.42614
580	20994.7422
581	20985.51541
582	20976.73043
583	20965.28085
584	20952.51905
585	20942.90299
586	20934.28645
587	20924.73735
588	20912.04738
589	20903.41576
590	20897.23312
591	20890.9692
592	20880.34497
593	20875.66348
594	20867.84008
595	20856.20673
596	20847.58067
597	20840.34845
598	20827.40439
599	20820.7509
600	20812.43985
601	20790.97962
602	20776.15081
603	20768.89548
604	20762.74917
605	20754.05804
606	20736.35184
607	20726.3721
608	20705.72405
609	20694.01615
610	20685.76179
611	20678.62057
612	20672.88194
613	20666.3805
614	20660.75381
615	20650.90254
616	20645.52971
617	20637.12711
618	20626.94802
619	20617.44939
620	20608.65835
621	20604.30665
622	20595.76945
623	20588.34229
624	20579.72014
625	20572.06297
626	20560.11296
627	20553.66819
628	20542.63433
629	20538.45737
630	20527.61807
631	20515.6597
632	20509.57239
633	20500.65471
634	20490.99502
635	20480.50235
636	20470.636
637	20465.05566
638	20457.52775
639	20452.63684
640	20446.60711
641	20441.66537
642	20432.71064
643	20422.06489
644	20413.54764
645	20401.51617
646	20391.0263
647	20380.24612
648	20371.20649
649	20363.60753
650	20353.3318
651	20347.42687
652	20338.3629
653	20334.2922
654	20323.78174
655	20313.99716
656	20300.04429
657	20291.52872
658	20280.55732
659	20274.37454
660	20268.6974
661	20261.68116
662	20243.70414
663	20238.69489
664	20231.72744
665	20226.68088
666	20214.75981
667	20195.46183
668	20189.13698
669	20179.08783
670	20172.59137
671	20164.81734
672	20159.52651
673	20150.17518
674	20136.90444
675	20124.29633
676	20119.45416
677	20114.58489
678	20104.91063
679	20100.88214
680	20096.73507
681	20087.06163
682	20076.54082
683	20070.53989
684	20064.89516
685	20052.02135
686	20045.99384
687	20034.92243
688	20024.06649
689	20017.54062
690	20005.3942
691	19999.26603
692	19992.29451
693	19976.8685
694	19958.04974
695	19952.83947
696	19950.32692
697	19942.97722
698	19937.97552
699	19933.55136
700	19924.7471
701	19917.0208
702	19909.61443
703	19897.49289
704	19889.85759
705	19877.96632
706	19865.89751
707	19857.4781
708	19850.43607
709	19828.61085
710	19819.34398
711	19812.13123
712	19801.86025
713	19794.61256
714	19789.49468
715	19780.36779
716	19774.85767
717	19768.61294
718	19758.36941
719	19747.44106
720	19742.65292
721	19735.44082
722	19719.54008
723	19711.77931
724	19706.29119
725	19700.36427
726	19694.44535
727	19689.3339
728	19683.55455
729	19678.44805
730	19670.23157
731	19660.50059
732	19655.87096
733	19647.15358
734	19633.82775
735	19625.99984
736	19620.31961
737	19614.30967
738	19609.17895
739	19599.45083
740	19593.7243
741	19586.68734
742	19581.81938
743	19573.58993
744	19568.96581
745	19558.42143
746	19550.64563
747	19543.9336
748	19534.89614
749	19529.47828
750	19523.62304
751	19518.32901
752	19512.43197
753	19493.81459
754	19488.04045
755	19479.23933
756	19468.85123
757	19463.65381
758	19456.4189
